SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
21,HELENA,TOP PLATFORM GENERAL TRADING LLC,"Dubai, United Arab Emirates",YUQUAN IMPORT & EXP. CO LIMITED,Hongkong China,,TOP PLATFORM GENERAL TRADING LLC
22,ARMAN J,ARMAN J GENERAL TRADING LLC,"Dubai, United Arab Emirates",BOSUNG ENGINEERING & MANUFACTURING,"Chungcheongbukdo, Korea",,ARMAN J GENERAL TRADING LLC
23,FADAEI,FADAEI GENERAL TRADING LLC,"Dubai, United Arab Emirates","GUAGZHOU F.G.T INTERNATIONAL TRADING CO., LTD","Guangzhou, China",,FADAEI GENERAL TRADING LLC
24,BAHMANI,BAHMANI GENERAL TRADING CO LLC,"Dubai, United Arab Emirates",HONGKONG JINJIANG TRADE CO LIMITED,"Hongkong, China",,BAHMANI GENERAL TRADING CO LLC
24,BAHMANI,BAHMANI GROUP,"Dubai, United Arab Emirates",HONGKONG JINJIANG TRADE CO LIMITED,"Hongkong, China",,BAHMANI GROUP
24,BAHMANI,BAHMANI MANUFACTURING AND INDUSTRIAL TECH CO LLC,"Dubai, United Arab Emirates",HONGKONG JINJIANG TRADE CO LIMITED,"Hongkong, China",,BAHMANI MANUFACTURING AND INDUSTRIAL TECH CO LLC
24,BAHMANI,MASTER CITY GENERAL TRADING LLC,"Dubai, United Arab Emirates",BAKDA INDUSTRY CO. LTD,"Hongkong, China",,MASTER CITY GENERAL TRADING LLC
24,BAHMANI,SMART BUILDING MATERIALS TRADING LLC,"Ras Al Khaimah, United Arab Emirates",KANA INDUSTRY CO LTD,"Hongkong, China",,SMART BUILDING MATERIALS TRADING LLC
24,BAHMANI,SYSNY POWER GENERATION EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates",SUNSHOW MACHINERY AND ELECTRICAL CO LTD,"Hongkong, China",,SYSNY POWER GENERATION EQUIPMENT TRADING LLC
24,BAHMANI,LANTERN GENERAL TRADING LLC,"Dubai, United Arab Emirates",HELI MACHINERY TRADING CO LTD,"Hongkong, China",,LANTERN GENERAL TRADING LLC
24,BAHMANI,BEST DAY GENERAL TRADING LLC,"Dubai, United Arab Emirates","ZEIJIANG WANJI INDUSTRY & TRADE CO., LTD","Zheijiang, China",,BEST DAY GENERAL TRADING LLC
24,BAHMANI,GLAD GENERAL TRADING FZE,"Sharjah, United Arab Emirates",SUNSHOW MACHINERY AND ELECTRICAL CO LTD,"Hongkong, China",,GLAD GENERAL TRADING FZE
24,BAHMANI,WELCOME GENERAL TRADING FZE,"Sharjah, United Arab Emirates",SUNSHOW MACHINERY AND ELECTRICAL CO LTD,"Hongkong, China",,WELCOME GENERAL TRADING FZE
24,BAHMANI, HOPE GENERAL TRADING FZE,"Sharjah, United Arab Emirates",HK SIHAI YINGTONG INDUSTRY CO LIMITED,"Hongkong, China",, HOPE GENERAL TRADING FZE
24,BAHMANI, MOON POWER GENERAL TRADING LLC,"Sharjah, United Arab Emirates",SUNSHOW INDUSTRY LIMITED,"Hongkong, China",, MOON POWER GENERAL TRADING LLC
24,BAHMANI, MOON POWER HEAVY EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates",SUNSHOW INDUSTRY LIMITED,"Hongkong, China",, MOON POWER HEAVY EQUIPMENT TRADING LLC
27,SADAT,C T A GENERAL TRADING LLC,"Dubai, United Arab Emirates",LAADER BERG AS,"Alesund, Norway",,C T A GENERAL TRADING LLC
27,SADAT,GLTA FOODSTUFF TRADING LLC,"Dubai, United Arab Emirates",BELL CARTER FOODS INC.,"Walnut Creek, United States",,GLTA FOODSTUFF TRADING LLC
27,SADAT,RAIN LINK GENERAL TRADING LLC,"Dubai, United Arab Emirates",ELEVATOR COMPONENTS INTERNATIONAL TRADING CO. LTD.,"Wuhan, China",,RAIN LINK GENERAL TRADING LLC
27,SADAT,STEEL MAN GENERAL TRADING ,"Dubai, United Arab Emirates",SKY PLASTIC GROUP AG,"Volkermarkt, Austria",,STEEL MAN GENERAL TRADING 
29,PEYMAN ,RED LINE FZE,"Sharjah, United Arab Emirates",PACER TECHNOLOGY CO LTD,"Taichung, Taiwan",,RED LINE FZE
29,PEYMAN ,BLUELAND FZE,"Sharjah, United Arab Emirates",AERZENER MASCHINENFABRIK GMBH,"Hamburg, Germany",,BLUELAND FZE
29,PEYMAN ,SOHAIL & RAOOF COMMERCIAL BROKER LLC,"Dubai, United Arab Emirates",SHANGHAI FAVORS IMPORT & EXPORT CO LTD,"Shanghai, China",,SOHAIL & RAOOF COMMERCIAL BROKER LLC
29,PEYMAN ,PEYMAN  GENERAL TRADING LLC,"Dubai, United Arab Emirates",FIVE TECHNOLOGY CO. LTD,"Shanghai, China",,PEYMAN  GENERAL TRADING LLC
29,PEYMAN ,PINK TRADING FZE,"Sharjah, United Arab Emirates",STARRY LONGER TRADING CO LTD,"Taoyuan City, Taiwan",,PINK TRADING FZE
30,ANDEZ,ANDEZ ELECTRONICS LLC,"Dubai, United Arab Emirates",ENERMAX TECHNOLOGY CORP,"Taoyuan City, Taiwan",,ANDEZ ELECTRONICS LLC
30,ANDEZ,HILUX GENERAL TRADIDNG LLC,"Dubai, United Arab Emirates",WAYMAX GMBH CO.,"Berlin, Germany",,HILUX GENERAL TRADIDNG LLC
32,KALABANI,ARVAND INTERNATIONAL GENERA TRADING,"Dubai, United Arab Emirates",COFERC S.R.L.,"Genoa, Italy",,ARVAND INTERNATIONAL GENERA TRADING
32,KALABANI,EXCELLENT CITY GENERAL TRADING LLC,"Dubai, United Arab Emirates",SINOJOINT POLY ENTERPRISE CO LTD,"Hong Kong, China",,EXCELLENT CITY GENERAL TRADING LLC
32,KALABANI,GOLDEN BRIDGE DWC LLC,"Dubai, United Arab Emirates",AL JABOR TRADING CO.,"Doha , Qatar",,GOLDEN BRIDGE DWC LLC
35,KHAT ALETEBAR ,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, United Arab Emirates",ATLAS MACHINES INDIA,"Mumbai, India",,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE
