SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,
30.00,ANDEZ,1. ANDEZ ELECTRONICS LLC,"Dubai, United Arab Emirates","ENERMAX TECHNOLOGY CORP - TAOYUAN CITY, TAIWAN",
,,2. HILUX GENERAL TRADIDNG LLC,"Dubai, United Arab Emirates","WAYMAX GMBH CO    BERLIN, GERMANY",
31.00,NAZANIN,1. NAZANIN ELECTRONICS LLC,"Dubai, United Arab Emirates",,
32.00,KALABANI,1. ARVAND INTERNATIONAL GENERAL TRADING,"Dubai, United Arab Emirates","COFERC SRL - GENOA, ITALY",
,,2. EXCELLENT CITY GENERAL TRADING LLC,"Dubai, United Arab Emirates","SINOJOINT POLY ENTERPRISE CO LTD - HongKong,China",
,,3. GOLDEN BRIDGE DWC LLC,"Dubai, United Arab Emirates","AL JABOR TRADING CO. - DOHA , QATAR",
33.00,ETAKAR,1. ETAKAR INTERNATIONAL GROUP,"Dubai, United Arab Emirates",,
34.00,MONTAZERI,1. MIDDLE EAST PALM GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
,,2. ALTOS STEEL DMCC,"Dubai, United Arab Emirates","KASRA BITUMEN REFINING CO   Bandar Abbas, Iran",
35.00,KHAT ALETEBAR ,1. MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Dubai, United Arab Emirates","ATLAS MACHINES INDIA - Maharashtra, India",
,,2. KHAT ALETEBAR GENERAL TRADING LLC,"Dubai, United Arab Emirates","ODAV & CO. - NASSAU, BAHAMAS",
36.00,VENTURE,1. VENTURE GLOBAL TRADING LLC,,,
37.00,BOX TECH,1. BOX TECHNOLOGY,,,
38.00,ATAKAN,1. ATAKAN TRADING FZE,"Ajman, United Arab Emirates","SOMER ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI     ISTANBUL, TURKEY",
,,2. OGUZ DUZEN (ATAKAN),,,
,,3. GRAND A T A GENERAL TRADING LLC,,,
,,4.CLARENDON TRADING FZE,"Ajman, United Arab Emirates",,
,,5. RABARBA TRADING FZE,"Umm Al Quwain, United Arab Emirates",,
,,6. BANDOLERO BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates","SOMER ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI     ISTANBUL, TURKEY",
39.00,PERFECT MOON,1. PERFECT MOON INTERNATIONAL FZE,"Ajman, United Arab Emirates","HANGZHOU SANTIWAY INTERNATIONAL CO LTD     Zhejiang, China",
,,2. EMERGENCE INTERNATIONAL FZE,"Ajman, United Arab Emirates","ATLAS TRADING CO SRL - Milan, Italy",
,,3. TRANSITIAL INTERNATIONAL FZC,,,
40.00,JAFAR SIHAWI,1. JAFAR SIHAWI COMMERCIAL INTERMEDIARY LLC,"Dubai, United Arab Emirates",,
41.00,APAREX,1. APAREX GENERAL TRADING LLC,"Dubai, United Arab Emirates","SUIZHOU WANRUI AUTO PARTS CO., LTD - SUIZHOU, CHINA",
42.00,QLIQ ,1.QLIQ TRADING FZCO,"Dubai, United Arab Emirates",Qingdao Wanfang Yusheng Electrical Equipment CoLtd. QINGDAO CITY. CHINA,
,,3. TRANSITIAL INTERNATIONAL FZC,,,
,,2.SMS ELECTRONICS LLC,"Dubai, United Arab Emirates","POWER ELECTRONICS - ESPANA, Barcelona, Spain",
43.00,JAZIRA DAS,1.JAZIRA DAS INTERNATIONAL REFINDED OIL PRODUCTS TRADING LLC,"Dubai, United Arab Emirates","KUNLUN HOLDING CO LTD, SHANGHAI.CHINA",
44.00,CAPITAL,CAPITAL ARENA GENERAL TRADING LLC ,,"VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS - ISTANBUL, TURKEY",
,,ISTANBLUE GENERAL TRADING LLC  ,,"VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS - ISTANBUL, TURKEY",
,,ARENA INTERNATIONAL DWCC ,"Dubai, United Arab Emirates","VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS - ISTANBUL, TURKEY",
45.00,AL NOOR,AL NOOR BUILDING MATERIALS TRADING CO LLC (NO LETTERHEAD),"Dubai, United Arab Emirates","YAS FINANCIAL & TRADING INC - Ontario, Canada",
,,CENTRAL LINE GENERAL TRADING CO LLC (NO LETTERHEAD),"Dubai, United Arab Emirates","YAS FINANCIAL & TRADING INC - Ontario, Canada",
,,DEG GENERAL TRADING LLC (NO LETTERHEAD),"Dubai, United Arab Emirates","YAS FINANCIAL & TRADING INC - Ontario, Canada",
